vOTUs,W-G-1,W-G-2,W-G-3,W-W-1,W-W-2,W-W-3,Y-G-1,Y-G-2,Y-G-3,Y-W-1,Y-W-2,Y-W-3
Y-W-1__108661,0,0,0.181486,0,0,0,0,0,0,5.175435,0.581529,39.258841
Y-W-1__108713,0,0,0,0,0,0,0,0,0,9.65757,0,0
Y-W-1__108733,0,0,0,0,0,0,0,0,0,6.3752,0,0
Y-W-1__10874,1.022439,0,0,0,0,0,0,0,0,5.262252,8.772222,35.829914
Y-W-1__10879,0.077984,0,0,0,0,0,0,0,0.074488,18.031578,1.948775,1.347701
Y-W-1__108799,0,0,53.314046,0,0,0,0,0,0,3.065498,0,0
Y-W-1__108826,24.780288,0,0,0,0,0,0,0,0,7.133317,0,0
Y-W-1__108840,0,0,6.901616,0,0,0,0,0,0,50.413166,16.901833,163.253152
Y-W-1__108862,0,0,0,0,0,0,0,0,0,4.633745,1.751201,0
Y-W-1__108933,4.697408,0,0.205152,0,0,0,0,0,0,15.488915,0,0
Y-W-1__108996,0,0,0,0,0,0,0,0,0,3.742182,0,0
Y-W-1__109003,0,0,0,0,0,0,0,0,0,4.228452,4.491231,0
Y-W-1__109004,0.356837,0,7.458198,0,0,0,0,0,0,8.950776,1.936297,0
Y-W-1__109026,2.570274,0,21.748944,0,0.485222,0,0,0,0,12.504302,3.773493,2.621947
Y-W-1__10914,0,0,0.200029,0,0,0,0,0,0,37.435791,14.589083,7.035753
Y-W-1__109161,11.285388,3.195895,10.719399,0,0,0,0,0,0,2.686428,0.7082,0.194351
Y-W-1__109165,0,0,0,0,0,0,0,0,0,3.096731,3.638654,9.358679
Y-W-1__109167,0,0,0.094372,0.200053,534.161932,0.798,0,0,0,5.382399,0,0
Y-W-1__109170,0,0,0,0,0,0,23.197302,7.16774,1.897508,6.301197,0,0
Y-W-1__109189,0,0,0,0,0,0,0,0,0,6.381734,0,0
Y-W-1__109195,0,0,0,0,0,0,0,0,0,10.093836,1.937948,1.240938
Y-W-1__109247,0,0,0,0,0,0,0,0,0,14.628012,0,0
Y-W-1__109296,0,0,0,0,0,0,0,0,0,15.554623,0,0
Y-W-1__109305,0,0,0,0,0,0,0,0,0,60.699454,4.037529,90.107958
Y-W-1__109352,0,0,0,0,0,0,0,0,0,139.459426,0,0
Y-W-1__109354,0.146201,0,2.554035,0,0,0,2.855802,0,0,12.499561,0,0
Y-W-1__109385,0.785459,0,3.791461,0,0,0,0,0,0,3.544946,5.206633,24.528682
Y-W-1__109415,0,0,1.175869,0,0,0,0,0,0,8.626186,4.885699,3.340591
Y-W-1__109423,0,0,0,0,0,0,0,0,0.076173,9.769186,0,0
Y-W-1__109432,0,3.629314,7.422206,0,0,0,0,0,0,5.355582,0,2.979566
Y-W-1__109474,0,0,0,0,0,0,0,0,0,9.947259,1.72085,4.892536
Y-W-1__109516,1.111701,0,0.346798,0,0,0,0.190904,0,0,1.864439,6.984881,10.292228
Y-W-1__109545,2.02286,0,5.676063,0,0,0,0,0,0,3.381083,2.807757,48.523403
Y-W-1__109551,1.38239,0.421736,0,0,0,0,0,0,0,6.74925,0.120157,0
Y-W-1__109563,0,0,0,0.196007,0,0,0,0,0,4.798069,0,0
Y-W-1__109567,0,0.508675,0.140714,0,0,0,0,0,0,43.663096,0,0
Y-W-1__109590,0,0,0,0,0,0,0,0,0,8.911026,0,0
Y-W-1__109665,0,0,0,0,0,0,0,0,0,36.757976,0,0
Y-W-1__109723,0.413896,0,0,0,0,0,0,0,0,1.207211,7.683386,41.214043
Y-W-1__109772,0.412585,0,2.70285,0,0,0,0,0,0,4.633044,6.048689,0
Y-W-1__109786,0,0,0,0,0,0,0,0,0,4.144977,2.567697,2.864072
Y-W-1__10984,0.496733,0,0.120522,0,0,0,0,0,0,8.845874,7.50302,0
Y-W-1__109851,2.098085,0,0.490878,0,0,0,0,3.393508,0.143145,6.119489,0,0
Y-W-1__109996,0.99079,0,11.683217,0,0,0,0,2.301076,0,5.259509,2.244841,11.922402
Y-W-1__110,0,0,0,0,0,0,0,0,0,16.447902,0,0
Y-W-1__110018,0,0,0,0,0,0,0,0,0,5.781188,0,4.006332
Y-W-1__110055,8.90619,0,1.065654,0,0,6.476705,0,0,0,24.03735,15.731678,1.405613
Y-W-1__110107,0,0,0.258506,0,0,0,289.298038,0,33.809309,10.574295,0.354994,5.228253
Y-W-1__110109,0,0,0,0,0,0,0,0,0,9.401338,0,0
Y-W-1__110115,1.755766,0,5.906454,0,0,0,0,0,0,10.947969,10.150676,0
Y-W-1__110125,0,0,0,0,0,0,0,0,0,32.733654,0,0
Y-W-1__110158,3.003841,0,0,0,0,0,0,0,0,42.052529,155.068246,23.147443
Y-W-1__110161,0,0,0.375614,0,0,0,0.206766,3.895013,0,7.111647,0,0
Y-W-1__110165,0,0,0,0,0,0,0,0,0,9.203582,3.306115,0
Y-W-1__110246,3.159262,0,0,0,0,0,0,0,0,134.193026,6.727755,1.318783
Y-W-1__110248,0,0,0,0,0,0,0,0,0,14.225277,0,0
Y-W-1__110250,4.334933,0,3.532113,22.46248,143.83575,12.842904,0,0,0,3.830855,9.054237,0.124238
Y-W-1__110289,0.157805,0,0.344593,0,0,0,0,0,0,3.785713,0.630951,4.24222
Y-W-1__110295,0,0,0,0,0,0,0,0,0,8.125997,0,0
Y-W-1__110300,0,0,0.154536,0,0,0,0,0,0,11.053326,3.819895,0
Y-W-1__110318,3.806064,0,0,0,0,0,0,0,0,10.433839,0,0
Y-W-1__110338,0.820455,0,0,0,0,0,0,0,0,51.789013,3.690486,3.019583
Y-W-1__110341,0,0,0,0,0,0,0,1.147597,0,274.913849,0,0
Y-W-1__110360,0.070264,0.123257,0.076717,0,0,0,1.097998,0.856726,0.604029,26.00169,0,1.079366
Y-W-1__110371,0.133325,0,0,0,0,0,0,0,0,4.164792,6.610124,0.665626
Y-W-1__110376,1.031126,2.349893,2.675025,0.611936,0,2.644397,0,0,0,14.835661,0.599034,2.43688
Y-W-1__110393,0,0,0,0,0,0,0,0,0,8.604764,0,0.411494
Y-W-1__110399,0.469214,0,11.783012,0,0,0,7.445095,0,0,10.729503,0,0
Y-W-1__110402,0,0,0.848691,0,0,0,0,0,0,3.253392,26.883432,0
Y-W-1__110413,2.998628,0,0.225794,0,0,0,0,0,0,5.277823,0.516786,0.19855
Y-W-1__11049,0,0,0,0,0,0,0.045269,0.655972,0.035971,59.983144,107.07721,125.229194
Y-W-1__110513,1.66086,0,0,0,0,0,0.638863,0,0,18.999086,2.732144,2.496669
Y-W-1__110585,0.668701,5.865166,0,0,0,0,0,0,0,7.016028,0.148537,0
Y-W-1__110591,0,0,0,0,0,0,0,0,0,9.877694,0,0
Y-W-1__110655,0,0,0,0,0,0,2.51695,0.654627,0.102564,13.263575,0,0
Y-W-1__110669,0,0,0,0,0,0,0,0,0,34.390082,78.125678,0
Y-W-1__110693,0.006888,0,0.00752,0,0,0,0,0,0,37.118285,0.461283,0.171935
Y-W-1__1107,0,0.060687,0.037772,0.160141,0,0.159699,1.4139,37.180105,0.627842,8.687806,1.175737,0.930012
Y-W-1__110753,0.360745,0,0.93545,0,0,0,0,0,0,13.660322,1.307147,7.208416
