,long,lat,nifA,nifD,nifE,nifEN,nifH,nifK,nifL,nifM,nifN,nifU,nifZ,anfK,vnfH,radius,LN
61,116.422191,39.919025,13,0,0,0,5,0,25,4,0,31,0,0,1,79,5.369447852
62,121.60447,31.210198,39,0,0,0,18,0,18,4,0,23,0,0,1,103,5.634728988
63,-118.956275,37.133088,93,0,0,0,18,1,50,8,0,43,0,0,0,213,6.361292166
64,-105.76482,39.606555,24,0,0,0,0,0,6,0,0,8,0,0,0,38,4.63758616
65,-89.404177,43.099081,619,0,1,0,83,3,344,156,2,104,1,1,4,1318,8.183870715
66,-81.475621,42.025745,261,1,1,0,54,3,228,68,0,65,0,0,4,685,7.529418838
67,-76.608966,39.28363,44,0,0,0,16,0,38,4,0,27,0,0,1,130,5.86753445
68,-124.871929,54.502869,26,0,0,0,2,0,7,1,0,2,0,0,0,38,4.63758616
69,-114.493584,55.148951,38,0,0,0,7,0,16,5,2,6,0,0,0,74,5.304065093
70,-113.448649,53.552901,20,0,0,0,1,0,15,4,0,0,0,0,0,40,4.688879454
71,-80.543845,43.475799,46,0,0,0,11,1,58,28,1,14,0,0,0,159,6.068904202
72,-42.920692,46.503284,16,0,0,0,6,0,12,3,0,1,0,0,2,40,4.688879454
